;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
53;22365;Абрамовский Маяк;-0.6223229638893231;-39.7;25.8;19191;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
54;22375;Несь;-1.186162167576501;-43.3;27.2;19967;1959-07-01 00:00:00.000;2014-11-30 00:00:00.000
55;22383;Нижняя Пеша;-1.8723528952098147;-47.1;27.4;25594;1939-01-01 00:00:00.000;2013-06-30 00:00:00.000
56;22408;Калевала;0.9154665182711927;-43.7;26.7;26955;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
57;22413;Энгозеро;1.0728179410604608;-38.8;25.7;17747;1966-01-01 00:00:00.000;2014-12-31 00:00:00.000
58;22422;Гридино;1.2368539917943313;-34.2;26.2;26567;1936-01-01 00:00:00.000;2014-10-31 00:00:00.000
59;22429;Соловки;1.7318394600283051;-30.9;42.4;27557;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
60;22456;Кепино;-0.30973224799058;-47.0;28.5;19533;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
61;22471;Мезень;-0.2967656654291821;-43.1;28.2;17778;1966-01-01 00:00:00.000;2014-12-31 00:00:00.000
62;22481;Мосеево;-0.9662658482592071;-48.8;27.7;19876;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
63;22511;Юшкозеро;1.5934267241379312;-41.8;27.2;20416;1959-01-01 00:00:00.000;2014-12-31 00:00:00.000
64;22525;Разнаволок;1.4446203889047755;-35.1;26.2;27976;1936-01-01 00:00:00.000;2014-11-30 00:00:00.000
65;22529;Колежма;1.6216370771818351;-37.2;51.5;26755;1937-10-01 00:00:00.000;2014-12-31 00:00:00.000
66;22541;Унский Маяк;1.4337296281574097;-35.0;26.8;27673;1936-01-01 00:00:00.000;2014-09-30 00:00:00.000
67;22546;Северодвинск;1.6719126393123096;-37.4;28.4;20009;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
68;22550;Архангельск;1.1136752136752137;-44.2;28.4;48789;1881-01-01 00:00:00.000;2014-12-31 00:00:00.000
69;22551;Мудьюг остров;1.1046584006826967;-36.8;28.0;19921;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
70;22559;Холмогоры;1.1899794600938967;-40.6;29.2;20448;1959-01-01 00:00:00.000;2014-12-31 00:00:00.000
71;22563;Пинега;0.24087377269195448;-45.7;29.5;28314;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
72;22573;Лешуконское;-0.23246910466582596;-44.9;29.0;19825;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
73;22583;Койнас;-0.49864065552420234;-48.8;29.5;36856;1912-09-01 00:00:00.000;2014-12-31 00:00:00.000
74;22602;Реболы;1.575030549898167;-40.5;27.9;27005;1910-10-19 00:00:00.000;2014-12-31 00:00:00.000
75;22619;Паданы;2.1140819864660814;-36.9;26.9;17881;1966-01-01 00:00:00.000;2014-12-31 00:00:00.000
76;22621;Сегежа;1.8817483189241115;-36.1;28.0;17697;1966-01-01 00:00:00.000;2014-12-31 00:00:00.000
