;site_code;site_name;value_amount;lon;lat;name_map
637;28659;Куртамыш;17614;64.43;54.92;Куртамыш (28659) кол-во измерений:17614
638;28661;Курган;17805;65.4;55.45;Курган (28661) кол-во измерений:17805
639;28662;Лебяжье;17732;66.5;55.28;Лебяжье (28662) кол-во измерений:17732
640;28666;Макушино;10859;67.3;55.25;Макушино (28666) кол-во измерений:10859
641;28668;Половинное;16523;66.0;54.77;Половинное (28668) кол-во измерений:16523
642;28674;Петухово;17662;67.88;55.07;Петухово (28674) кол-во измерений:17662
643;28688;Исилькуль;17410;71.270278;54.937222;Исилькуль (28688) кол-во измерений:17410
644;28696;Калачинск;17379;74.606114;55.019444;Калачинск (28696) кол-во измерений:17379
645;28698;Омск;17775;73.383333;55.016667;Омск (28698) кол-во измерений:17775
646;28704;Чулпаново;17696;50.412778;54.4925;Чулпаново (28704) кол-во измерений:17696
647;28705;Челно-Вершины;17728;51.1;54.42;Челно-Вершины (28705) кол-во измерений:17728
648;28709;Клявлино;17741;52.03;54.27;Клявлино (28709) кол-во измерений:17741
649;28710;Раевский;17098;54.927778;54.063611;Раевский (28710) кол-во измерений:17098
650;28711;Бугульма;17702;52.800833;54.631944;Бугульма (28711) кол-во измерений:17702
651;28712;Туймазы;17421;53.713889;54.591667;Туймазы (28712) кол-во измерений:17421
652;28713;Буздяк;17126;54.537222;54.575278;Буздяк (28713) кол-во измерений:17126
653;28719;Аксаково;17586;54.15;54.02;Аксаково (28719) кол-во измерений:17586
654;28721;Чишмы;17653;55.429722;54.589444;Чишмы (28721) кол-во измерений:17653
655;28722;Уфа, Дема;17680;55.813889;54.711389;Уфа, Дема (28722) кол-во измерений:17680
656;28726;Архангельское;13628;56.78;54.4;Архангельское (28726) кол-во измерений:13628
657;28736;Учалы;17389;59.43;54.36;Учалы (28736) кол-во измерений:17389
658;28741;Мирный;17787;60.29999999999999;54.55;Мирный (28741) кол-во измерений:17787
659;28745;Южноуральск;16846;61.35;54.43;Южноуральск (28745) кол-во измерений:16846
660;28748;Троицк;17702;61.62;54.08;Троицк (28748) кол-во измерений:17702
661;28754;Октябрьское;17778;62.7;54.42;Октябрьское (28754) кол-во измерений:17778
662;28756;Звериноголовское;17803;64.87;54.47;Звериноголовское (28756) кол-во измерений:17803
663;28786;Полтавка;17410;71.766114;54.356114;Полтавка (28786) кол-во измерений:17410
664;28791;Шербакуль;8644;72.423056;54.631944;Шербакуль (28791) кол-во измерений:8644
665;28797;Одесское;17392;72.951944;54.209169;Одесское (28797) кол-во измерений:17392
666;28798;Павлоградка;13119;73.577222;54.199725;Павлоградка (28798) кол-во измерений:13119
667;28799;Черлак;17410;74.815278;54.156667;Черлак (28799) кол-во измерений:17410
668;28802;Серноводск;17728;51.27;53.92;Серноводск (28802) кол-во измерений:17728
669;28806;Бугуруслан;17061;52.45;53.62;Бугуруслан (28806) кол-во измерений:17061
670;28815;Абдулино;13050;53.65;53.65;Абдулино (28815) кол-во измерений:13050
671;28817;Троицкое, а;17710;52.82;53.33;Троицкое, а (28817) кол-во измерений:17710
672;28823;Тукан;17567;57.41;53.86;Тукан (28823) кол-во измерений:17567
673;28825;Стерлитамак;17609;55.933611;53.603333;Стерлитамак (28825) кол-во измерений:17609
674;28831;Белорецк;17594;58.35;53.96;Белорецк (28831) кол-во измерений:17594
675;28833;Верхнеуральск;14918;59.2;53.88;Верхнеуральск (28833) кол-во измерений:14918
676;28838;Магнитогорск;17196;59.08;53.35;Магнитогорск (28838) кол-во измерений:17196
